Date : 2020-05-01 14:27:25
Directory : c:\Users\vasat\Desktop\GitHub\autohouse-server\src
Total : 318 files,  92115 codes, 632 comments, 2583 blanks, all 95330 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| SQL        |          3 |     80,203 |          0 |          2 |     80,205 |
| Java       |        306 |     11,760 |        601 |      2,543 |     14,904 |
| Properties |          6 |         74 |         30 |         28 |        132 |
| JSON       |          1 |         49 |          0 |          1 |         50 |
| HTML       |          2 |         29 |          1 |          9 |         39 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                           |        318 |     92,115 |        632 |      2,583 |     95,330 |
| main                                                                                                                                        |        273 |      9,523 |        592 |      2,097 |     12,212 |
| main\java                                                                                                                                   |        265 |      9,380 |        561 |      2,060 |     12,001 |
| main\java\bg                                                                                                                                |        265 |      9,380 |        561 |      2,060 |     12,001 |
| main\java\bg\autohouse                                                                                                                      |        265 |      9,380 |        561 |      2,060 |     12,001 |
| main\java\bg\autohouse\audit                                                                                                                |          3 |         45 |          0 |         12 |         57 |
| main\java\bg\autohouse\audit\models                                                                                                         |          2 |         18 |          0 |          6 |         24 |
| main\java\bg\autohouse\common                                                                                                               |          1 |         10 |          0 |          4 |         14 |
| main\java\bg\autohouse\config                                                                                                               |         13 |        436 |        124 |         90 |        650 |
| main\java\bg\autohouse\config\properties                                                                                                    |          2 |         61 |          3 |         22 |         86 |
| main\java\bg\autohouse\data                                                                                                                 |         72 |      2,093 |         20 |        510 |      2,623 |
| main\java\bg\autohouse\data\models                                                                                                          |         49 |      1,659 |         17 |        372 |      2,048 |
| main\java\bg\autohouse\data\models\account                                                                                                  |          3 |        158 |          4 |         31 |        193 |
| main\java\bg\autohouse\data\models\annotations                                                                                              |          2 |         16 |          0 |          8 |         24 |
| main\java\bg\autohouse\data\models\converters                                                                                               |          1 |         27 |          0 |          6 |         33 |
| main\java\bg\autohouse\data\models\enums                                                                                                    |         15 |        382 |          3 |         74 |        459 |
| main\java\bg\autohouse\data\models\geo                                                                                                      |          4 |        176 |          0 |         37 |        213 |
| main\java\bg\autohouse\data\models\media                                                                                                    |          3 |         85 |          0 |         23 |        108 |
| main\java\bg\autohouse\data\models\offer                                                                                                    |          3 |        170 |          7 |         46 |        223 |
| main\java\bg\autohouse\data\projections                                                                                                     |          5 |         28 |          0 |         16 |         44 |
| main\java\bg\autohouse\data\projections\geo                                                                                                 |          1 |          4 |          0 |          2 |          6 |
| main\java\bg\autohouse\data\projections\user                                                                                                |          2 |          9 |          0 |          5 |         14 |
| main\java\bg\autohouse\data\repositories                                                                                                    |         14 |        246 |          1 |         78 |        325 |
| main\java\bg\autohouse\data\specifications                                                                                                  |          4 |        160 |          2 |         44 |        206 |
| main\java\bg\autohouse\errors                                                                                                               |         16 |        248 |          0 |         92 |        340 |
| main\java\bg\autohouse\errors\modela                                                                                                        |          1 |         14 |          0 |          5 |         19 |
| main\java\bg\autohouse\security                                                                                                             |         13 |        622 |          5 |        123 |        750 |
| main\java\bg\autohouse\security\authentication                                                                                              |          2 |         40 |          2 |          8 |         50 |
| main\java\bg\autohouse\security\jwt                                                                                                         |         10 |        481 |          0 |         91 |        572 |
| main\java\bg\autohouse\service                                                                                                              |         50 |      2,320 |         26 |        360 |      2,706 |
| main\java\bg\autohouse\service\models                                                                                                       |         18 |        336 |          1 |         63 |        400 |
| main\java\bg\autohouse\service\models\account                                                                                               |          2 |         32 |          0 |          6 |         38 |
